"ZIP
code [1]"	Size of adjusted gross income	Number of returns
10509	$100,000 under $200,000	2020
10509	$200,000 or more	780
		
10510		4,880
10510	$1 under $25,000	1150
10510	$25,000 under $50,000	490
10510	$50,000 under $75,000	420
10510	$75,000 under $100,000	300
10510	$100,000 under $200,000	1000
10510	$200,000 or more	1520
		
10511		1,140
10511	$1 under $25,000	350
10511	$25,000 under $50,000	220
10511	$50,000 under $75,000	160
10511	$75,000 under $100,000	130
10511	$100,000 under $200,000	220
10511	$200,000 or more	60
		
10512		12,330
10512	$1 under $25,000	3480
10512	$25,000 under $50,000	2190
10512	$50,000 under $75,000	1720
10512	$75,000 under $100,000	1350
10512	$100,000 under $200,000	2800
10512	$200,000 or more	790
		
10514		5,450
10514	$1 under $25,000	1360
10514	$25,000 under $50,000	400
10514	$50,000 under $75,000	280
10514	$75,000 under $100,000	240
10514	$100,000 under $200,000	840
10514	$200,000 or more	2330
		
10516		2,710
10516	$1 under $25,000	720
10516	$25,000 under $50,000	460
10516	$50,000 under $75,000	340
10516	$75,000 under $100,000	310
10516	$100,000 under $200,000	610
10516	$200,000 or more	270
		
10518		720
10518	$1 under $25,000	200
10518	$25,000 under $50,000	90
10518	$50,000 under $75,000	60
10518	$75,000 under $100,000	50
10518	$100,000 under $200,000	150
10518	$200,000 or more	170
		
10520		6,270
10520	$1 under $25,000	1590
10520	$25,000 under $50,000	930
10520	$50,000 under $75,000	780
10520	$75,000 under $100,000	590
10520	$100,000 under $200,000	1330
10520	$200,000 or more	1050
		
10522		5,220
10522	$1 under $25,000	1250
10522	$25,000 under $50,000	810
10522	$50,000 under $75,000	680
10522	$75,000 under $100,000	530
10522	$100,000 under $200,000	1070
10522	$200,000 or more	880
		
10523		4,770
10523	$1 under $25,000	1590
10523	$25,000 under $50,000	970
10523	$50,000 under $75,000	700
10523	$75,000 under $100,000	480
10523	$100,000 under $200,000	820
10523	$200,000 or more	210
		
10524		2,070
10524	$1 under $25,000	500
10524	$25,000 under $50,000	320
10524	$50,000 under $75,000	240
10524	$75,000 under $100,000	240
10524	$100,000 under $200,000	490
10524	$200,000 or more	280
		
10526		990
10526	$1 under $25,000	290
10526	$25,000 under $50,000	120
10526	$50,000 under $75,000	120
10526	$75,000 under $100,000	80
10526	$100,000 under $200,000	190
10526	$200,000 or more	190
		
10527		450
10527	$1 under $25,000	100
10527	$25,000 under $50,000	50
10527	$50,000 under $75,000	50
10527	$75,000 under $100,000	40
10527	$100,000 under $200,000	110
10527	$200,000 or more	100
		
10528		5,800
10528	$1 under $25,000	1560
10528	$25,000 under $50,000	920
10528	$50,000 under $75,000	760
10528	$75,000 under $100,000	550
10528	$100,000 under $200,000	950
10528	$200,000 or more	1060
		
10530		7,110
10530	$1 under $25,000	1430
10530	$25,000 under $50,000	1010
10530	$50,000 under $75,000	1080
10530	$75,000 under $100,000	900
10530	$100,000 under $200,000	1740
10530	$200,000 or more	950
		
10532		2,640
10532	$1 under $25,000	660
10532	$25,000 under $50,000	400
10532	$50,000 under $75,000	340
10532	$75,000 under $100,000	290
10532	$100,000 under $200,000	680
10532	$200,000 or more	270
		
10533		3,790
10533	$1 under $25,000	870
10533	$25,000 under $50,000	420
10533	$50,000 under $75,000	380
10533	$75,000 under $100,000	340
10533	$100,000 under $200,000	760
10533	$200,000 or more	1020
		
10535		380
10535	$1 under $25,000	120
10535	$25,000 under $50,000	100
10535	$50,000 under $75,000	50
10535	$75,000 under $100,000	40
10535	$100,000 under $200,000	70
10535	$200,000 or more	**
		
10536		5,180
10536	$1 under $25,000	1350
10536	$25,000 under $50,000	570
10536	$50,000 under $75,000	440
10536	$75,000 under $100,000	360
10536	$100,000 under $200,000	1020
10536	$200,000 or more	1440
		
10537		1,210
10537	$1 under $25,000	400
10537	$25,000 under $50,000	270
10537	$50,000 under $75,000	160
10537	$75,000 under $100,000	130
10537	$100,000 under $200,000	220
10537	$200,000 or more	30
		
10538		7,970
10538	$1 under $25,000	1760
10538	$25,000 under $50,000	760
10538	$50,000 under $75,000	720
10538	$75,000 under $100,000	550
10538	$100,000 under $200,000	1300
10538	$200,000 or more	2880
		
10541		12,560
10541	$1 under $25,000	3610
10541	$25,000 under $50,000	2020
10541	$50,000 under $75,000	1620
10541	$75,000 under $100,000	1340
10541	$100,000 under $200,000	2980
10541	$200,000 or more	990
		
10543		9,600
10543	$1 under $25,000	2920
10543	$25,000 under $50,000	1550
10543	$50,000 under $75,000	1140
10543	$75,000 under $100,000	880
10543	$100,000 under $200,000	1620
10543	$200,000 or more	1490
		
10546		710
10546	$1 under $25,000	160
10546	$25,000 under $50,000	70
10546	$50,000 under $75,000	60
10546	$75,000 under $100,000	60
10546	$100,000 under $200,000	160
10546	$200,000 or more	200
		
10547		3,640
10547	$1 under $25,000	1110
10547	$25,000 under $50,000	690
10547	$50,000 under $75,000	490
10547	$75,000 under $100,000	370
10547	$100,000 under $200,000	760
10547	$200,000 or more	220
		
10548		1,590
10548	$1 under $25,000	450
10548	$25,000 under $50,000	280
10548	$50,000 under $75,000	210
10548	$75,000 under $100,000	190
10548	$100,000 under $200,000	360
10548	$200,000 or more	100
		
10549		8,220
10549	$1 under $25,000	2810
10549	$25,000 under $50,000	1410
10549	$50,000 under $75,000	820
10549	$75,000 under $100,000	590
10549	$100,000 under $200,000	1180
10549	$200,000 or more	1410
		
10550		18,780
10550	$1 under $25,000	9000
10550	$25,000 under $50,000	5380
10550	$50,000 under $75,000	2360
10550	$75,000 under $100,000	1100
10550	$100,000 under $200,000	880
10550	$200,000 or more	60
		
10552		10,690
10552	$1 under $25,000	3030
10552	$25,000 under $50,000	2320
10552	$50,000 under $75,000	1790
10552	$75,000 under $100,000	1250
10552	$100,000 under $200,000	1710
10552	$200,000 or more	590
		
10553		5,710
10553	$1 under $25,000	2240
10553	$25,000 under $50,000	1510
10553	$50,000 under $75,000	840
10553	$75,000 under $100,000	460
10553	$100,000 under $200,000	580
10553	$200,000 or more	80
		
10560		2,140
10560	$1 under $25,000	540
10560	$25,000 under $50,000	310
10560	$50,000 under $75,000	210
10560	$75,000 under $100,000	190
10560	$100,000 under $200,000	460
10560	$200,000 or more	430
		
10562		15,850
10562	$1 under $25,000	5390
10562	$25,000 under $50,000	3190
10562	$50,000 under $75,000	2080
10562	$75,000 under $100,000	1420
10562	$100,000 under $200,000	2590
10562	$200,000 or more	1180
		
10566		12,070
10566	$1 under $25,000	4650
10566	$25,000 under $50,000	2830
10566	$50,000 under $75,000	1690
10566	$75,000 under $100,000	1090
10566	$100,000 under $200,000	1510
10566	$200,000 or more	300
		
10567		9,460
10567	$1 under $25,000	2520
10567	$25,000 under $50,000	1460
10567	$50,000 under $75,000	1110
10567	$75,000 under $100,000	930
10567	$100,000 under $200,000	2280
10567	$200,000 or more	1160
		
10570		5,970
10570	$1 under $25,000	1540
10570	$25,000 under $50,000	740
10570	$50,000 under $75,000	620
10570	$75,000 under $100,000	470
10570	$100,000 under $200,000	1190
10570	$200,000 or more	1410
		
10573		18,650
10573	$1 under $25,000	7240
10573	$25,000 under $50,000	4180
10573	$50,000 under $75,000	2140
10573	$75,000 under $100,000	1290
10573	$100,000 under $200,000	2100
10573	$200,000 or more	1700
		
10576		2,490
10576	$1 under $25,000	640
10576	$25,000 under $50,000	230
10576	$50,000 under $75,000	200
10576	$75,000 under $100,000	130
10576	$100,000 under $200,000	500
10576	$200,000 or more	790
		
10577		1,570
10577	$1 under $25,000	430
10577	$25,000 under $50,000	140
10577	$50,000 under $75,000	130
10577	$75,000 under $100,000	90
10577	$100,000 under $200,000	190
10577	$200,000 or more	590
		
10578		440
10578	$1 under $25,000	110
10578	$25,000 under $50,000	70
10578	$50,000 under $75,000	60
10578	$75,000 under $100,000	50
10578	$100,000 under $200,000	110
10578	$200,000 or more	40
		
10579		4,380
10579	$1 under $25,000	1080
10579	$25,000 under $50,000	750
10579	$50,000 under $75,000	590
10579	$75,000 under $100,000	520
10579	$100,000 under $200,000	1020
10579	$200,000 or more	420
		
10580		7,980
10580	$1 under $25,000	1960
10580	$25,000 under $50,000	790
10580	$50,000 under $75,000	650
10580	$75,000 under $100,000	470
10580	$100,000 under $200,000	1180
10580	$200,000 or more	2930
		
10583		18,880
10583	$1 under $25,000	4410
10583	$25,000 under $50,000	1720
10583	$50,000 under $75,000	1660
10583	$75,000 under $100,000	1310
10583	$100,000 under $200,000	3340
10583	$200,000 or more	6440
		
10588		1,270
10588	$1 under $25,000	340
10588	$25,000 under $50,000	230
10588	$50,000 under $75,000	190
10588	$75,000 under $100,000	130
10588	$100,000 under $200,000	290
10588	$200,000 or more	90
		
10589		4,530
10589	$1 under $25,000	910
10589	$25,000 under $50,000	580
10589	$50,000 under $75,000	610
10589	$75,000 under $100,000	580
10589	$100,000 under $200,000	1180
10589	$200,000 or more	670
		
10590		3,170
10590	$1 under $25,000	800
10590	$25,000 under $50,000	340
10590	$50,000 under $75,000	330
10590	$75,000 under $100,000	270
10590	$100,000 under $200,000	740
10590	$200,000 or more	690
		
