"ZIP","offCat"
"10461","MISDEMEANOR"
"11238","MISDEMEANOR"
"10461","MISDEMEANOR"
"11233","VIOLATION"
"10039","MISDEMEANOR"
"10016","MISDEMEANOR"
"10039","MISDEMEANOR"
"10455","MISDEMEANOR"
"11234","MISDEMEANOR"
"11234","MISDEMEANOR"
"11226","MISDEMEANOR"
"11220","FELONY"
"11104","MISDEMEANOR"
"11373","MISDEMEANOR"
"10016","FELONY"
"10451","MISDEMEANOR"
"10461","FELONY"
"11373","MISDEMEANOR"
"11427","MISDEMEANOR"
"11354","FELONY"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"10001","VIOLATION"
"11433","FELONY"
"10463","MISDEMEANOR"
"10029","MISDEMEANOR"
"10016","MISDEMEANOR"
"11216","MISDEMEANOR"
"10465","MISDEMEANOR"
"11203","MISDEMEANOR"
"10010","MISDEMEANOR"
"11217","VIOLATION"
"10465","MISDEMEANOR"
"11374","MISDEMEANOR"
"10460","MISDEMEANOR"
"10461","MISDEMEANOR"
"10468","MISDEMEANOR"
"10468","MISDEMEANOR"
"11220","MISDEMEANOR"
"11220","FELONY"
"11207","VIOLATION"
"11233","FELONY"
"11233","FELONY"
"11201","MISDEMEANOR"
"11201","MISDEMEANOR"
"10309","MISDEMEANOR"
"11225","FELONY"
"10475","FELONY"
"11101","MISDEMEANOR"
"10461","VIOLATION"
"10452","MISDEMEANOR"
"11215","MISDEMEANOR"
"11201","MISDEMEANOR"
"11201","MISDEMEANOR"
"11357","FELONY"
"10305","VIOLATION"
"10469","MISDEMEANOR"
"10036","FELONY"
"11203","FELONY"
"10457","FELONY"
"10461","MISDEMEANOR"
"10467","MISDEMEANOR"
"10460","FELONY"
"11214","FELONY"
"11214","FELONY"
"11228","FELONY"
"11228","MISDEMEANOR"
"11207","MISDEMEANOR"
"11208","FELONY"
"11201","MISDEMEANOR"
"11201","MISDEMEANOR"
"11385","FELONY"
"11411","FELONY"
"11358","FELONY"
"11105","MISDEMEANOR"
"10314","MISDEMEANOR"
"10473","MISDEMEANOR"
"10455","MISDEMEANOR"
"10475","VIOLATION"
"11435","FELONY"
"00083","MISDEMEANOR"
"10461","FELONY"
"11219","MISDEMEANOR"
"11230","MISDEMEANOR"
"11233","FELONY"
"11372","MISDEMEANOR"
"10314","MISDEMEANOR"
"10465","MISDEMEANOR"
"10454","MISDEMEANOR"
"10460","MISDEMEANOR"
"11104","MISDEMEANOR"
"11370","FELONY"
"10031","MISDEMEANOR"
"10465","FELONY"
"10460","MISDEMEANOR"
"11232","VIOLATION"
"11249","VIOLATION"
"11365","MISDEMEANOR"
"11236","VIOLATION"
"10468","FELONY"
