"ZIP","Date","offCat","planeX","planeY","GPS"
"10035",2015-04-01,"MISDEMEANOR",1001185,231635,"(40.802452516, -73.938832167)"
"10029",2015-04-01,"MISDEMEANOR",1001249,230702,"(40.799891563, -73.93860336)"
"11435",2015-04-01,"VIOLATION",1039110,197551,"(40.708746766, -73.802125321)"
"00083",2015-04-01,"FELONY",991885,227972,"(40.792411505, -73.972427963)"
"10455",2015-04-01,"FELONY",1012346,236787,"(40.816564881, -73.898497059)"
"10035",2015-04-01,"MISDEMEANOR",1002622,228697,"(40.794385636, -73.933649757)"
"10035",2015-04-01,"MISDEMEANOR",1002895,229191,"(40.79574096, -73.932662428)"
"10035",2015-04-01,"MISDEMEANOR",1002895,229191,"(40.79574096, -73.932662428)"
"10035",2015-04-01,"MISDEMEANOR",1002309,228867,"(40.794852885, -73.93477972)"
"10029",2015-04-01,"MISDEMEANOR",1000788,229871,"(40.79761157, -73.940270476)"
"10035",2015-04-01,"MISDEMEANOR",1000883,232722,"(40.805436606, -73.939920299)"
"10035",2015-04-01,"MISDEMEANOR",1000458,232958,"(40.806085151, -73.941454899)"
"10035",2015-04-01,"MISDEMEANOR",1003086,229534,"(40.796681997, -73.931971643)"
"11215",2015-04-01,"VIOLATION",985878,183996,"(40.671711322, -73.994132629)"
"10019",2015-04-01,"FELONY",990833,218234,"(40.765684109, -73.976236757)"
"11215",2015-04-01,"FELONY",994695,178895,"(40.657704196, -73.962355926)"
"11692",2015-04-01,"VIOLATION",1040078,154933,"(40.591763863, -73.798986569)"
"10027",2015-04-01,"MISDEMEANOR",996582,237961,"(40.819823251, -73.955446596)"
"11106",2015-04-01,"MISDEMEANOR",1003379,219011,"(40.76779853, -73.930943379)"
"10022",2015-04-01,"MISDEMEANOR",994571,214904,"(40.75654054, -73.962747655)"
"10032",2015-04-01,"FELONY",1001273,249126,"(40.850460156, -73.938469935)"
"10314",2015-04-01,"MISDEMEANOR",941252,167306,"(40.625796679, -74.154899371)"
"10302",2015-04-01,"MISDEMEANOR",946845,171026,"(40.636032663, -74.134771549)"
