"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
11430,"Queens",0,2,0,0,0,7,2,0,1,27,0,3,1,4,18,16,40625,0
11432,"Queens",16,65,57,3,12,89,68,8,37,36,20,41,41,17,80,27,25019,1160
11433,"Queens",2,59,60,0,6,59,61,3,47,12,6,16,27,55,222,149,24135,890
11434,"Queens",7,69,54,6,4,58,74,16,71,21,9,43,46,54,207,170,32680,1690
11435,"Queens",5,39,64,16,21,71,66,3,39,25,12,21,40,26,116,70,27898,1300
11436,"Queens",3,29,18,1,1,16,35,0,26,6,3,14,20,3,21,15,29488,470
11451,"Queens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
11691,"Queens",2,37,96,5,2,34,51,6,91,8,7,26,30,52,136,92,24391,1310
11692,"Queens",5,10,24,3,1,9,15,3,26,0,0,16,13,13,46,35,25673,510
11693,"Queens",1,7,27,4,1,25,19,2,23,1,0,6,18,13,33,17,34300,370
11694,"Queens",4,21,15,3,1,29,10,1,35,2,1,19,93,21,33,17,50217,470
11697,"Queens",1,1,0,0,0,1,1,0,0,1,0,8,1,0,7,6,68981,90
99999,"99999",0,28,0,1,0,241,3,0,15,4,1358,1170,4,64,985,481,NA,NA
